ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
ID185105095,69 Chirnside St,KINGSVILLE,1180000.0,h,3/06/2017,3,1.0,1.0,335.0,49.0,-37.80742,144.88297,20023,658.0736764466615,19.4,0,92.33333333333333,260.0,36.666666666666664,Yarraville West Primary School,843.2724262369177,105,Gilmore College For Girls,1398.7880958661935,387
ID157439218,1/18 Magnolia Rd,GARDENVALE,595000.0,u,19/11/2016,2,1.0,1.0,0.0,59.0,-37.8994,145.0101,19953,601.7808873599148,23.5,0,86.33333333333333,233.33333333333334,28.0,Gardenvale Primary School,730.1680861563907,138,Leibler Yavneh College,788.2574071427429,28
ID558902448,4/1 Oconnell St,KINGSBURY,380000.0,u,25/02/2017,2,1.0,1.0,128.0,49.0,-37.715,145.043,19983,2608.0340291221764,34.75,0,92.33333333333333,260.0,36.666666666666664,Kingsbury Primary School,522.9841710438792,not ranked,Reservoir High School,1417.6290860145484,346
ID392009031,6/75 Pender St,THORNBURY,277500.0,u,12/11/2016,1,1.0,1.0,0.0,84.0,-37.7542,145.0098,20014,992.7768969465261,25.3,0,2403.6666666666665,5212.333333333333,586.6666666666666,Penders Grove Primary School,394.9934207775651,not ranked,St John's College Preston,1243.520285381933,not ranked
ID761435381,31 Hooker Rd,WERRIBEE,412700.0,h,19/08/2017,3,1.0,1.0,299.0,14.0,-37.89513,144.64056000000005,19921,1866.7409635023948,35.142857142857146,0,98.66666666666667,190.66666666666666,19.0,Manorvale Primary School,316.00640687872004,not ranked,Wyndham Central Secondary College,1356.1267793788813,499
ID495886399,4/7 Pershing St,RESERVOIR,390000.0,u,16/04/2016,2,1.0,1.0,122.0,39.0,-37.7261,144.9961,20011,640.970419329684,31.2,0,824.6666666666666,1890.3333333333333,159.33333333333334,Reservoir West Primary School,679.7251051369034,not ranked,Preston High School,1952.4601181648718,not ranked
ID347827978,141 Howard St,NORTH MELBOURNE,780000.0,t,17/06/2017,1,1.0,0.0,37.0,69.0,-37.80376,144.95379,19841,929.7354458955272,3.4078212290502794,0,84.33333333333333,293.3333333333333,23.0,North Melbourne Primary School,624.5413903874748,182,Simonds Catholic College,258.72714093793184,262
ID670813584,602/220 Commercial Rd,PRAHRAN,841000.0,u,18/03/2017,2,2.0,1.0,0.0,169.0,-37.847,144.9936,19958,432.05938201416456,13.5,0,705.3333333333334,5479.666666666667,335.0,South Yarra Primary School,941.9921847230411,44,Prahran High School,609.5671173136061,not ranked
ID904603331,31/12 Clyde St,ST KILDA,380000.0,u,3/09/2016,1,1.0,1.0,0.0,59.0,-37.8656,144.9782,19956,1413.4676463655999,17.5,0,1363.6666666666667,6287.666666666667,564.3333333333334,St Kilda Park Primary School,833.7497024834449,73,Yesodei HaTorah College,967.9891152895799,38
ID670812074,37 Waltham St,FLEMINGTON,1225000.0,h,9/09/2017,2,1.0,1.0,150.0,129.0,-37.78363,144.92997,20040,420.7555003413838,18.0,1,2047.6666666666667,9171.0,742.3333333333334,St Brendan's School,194.94040957938023,not ranked,Mount Alexander 7-12 College,330.91929024655155,348
ID760593409,17A Findon St,MALVERN EAST,1870000.0,h,19/11/2016,3,2.0,1.0,400.0,89.0,-37.8718,145.0404,22248,657.0777245693772,19.5,0,610.0,1743.6666666666667,228.0,Malvern Primary School,172.2116769236268,122,Oakwood School,598.5704862359887,565
ID176731026,33 Dalgety Dr,ASCOT VALE,960000.0,h,10/12/2016,3,2.0,2.0,229.0,8.0,-37.7778,144.9065,20039,1376.295630427205,20.0,0,2489.6666666666665,11817.333333333334,1268.6666666666667,Ascot Vale West Primary School,518.0377160349492,not ranked,Maribyrnong Secondary College,1618.1294137900672,192
ID542180359,47 Mooltan St,TRAVANCORE,1100000.0,h,18/06/2016,2,1.0,1.0,321.0,119.0,-37.7818,144.9374,19971,725.7445103091537,19.0,0,922.6666666666666,5201.0,296.6666666666667,Flemington Primary School,330.59017091726486,341,Mount Alexander 7-12 College,368.5462406699139,348
ID329235524,72 Military Rd,AVONDALE HEIGHTS,680000.0,h,24/09/2016,4,2.0,2.0,554.0,59.0,-37.7649,144.8633,20004,3680.9325647462274,26.375,0,1654.0,9119.666666666666,550.0,Avondale Primary School,209.44475818929814,326,Braybrook College,2033.362020383799,139
ID880168479,50 Farmer St,RICHMOND,1200000.0,h,9/09/2017,3,1.0,1.0,151.0,129.0,-37.8264,145.00935,19906,203.92482697945675,11.904761904761905,0,885.0,1901.0,227.66666666666666,Richmond Primary School,969.9868809936407,260,Melbourne Girls College,616.3195401443953,not ranked
ID686965446,25 Malvern Gr,CAULFIELD NORTH,2005000.0,h,7/05/2016,3,2.0,3.0,361.0,5.0,-37.8694,145.0296,19944,351.3126461970169,20.8,0,1540.6666666666667,6062.333333333333,477.6666666666667,Caulfield Junior College,768.1314930867186,226,Oakwood School,649.1567619732856,565
ID631668498,56 Brewer Rd,BENTLEIGH,1600000.0,h,3/06/2017,4,2.0,2.0,604.0,59.0,-37.92135,145.02917,19938,696.3465131105221,36.84615384615385,0,959.0,4476.666666666667,324.0,Bentleigh West Primary School,227.5511388548584,31,Brighton Secondary College,892.5677933398225,213
