"confirmed","deaths","recovered","newcase","date","infection_rate","recovery_rate"
16258079,645058,9402996,213322,2020-07-26,0.0131209843426151,0.578358365708519
16484206,650233,9572619,226127,2020-07-27,0.0137177975087183,0.580714594321377
16736727,656545,9746473,252521,2020-07-28,0.0150878364688628,0.582340442070902
17025889,663118,9948163,289162,2020-07-29,0.0169836652876099,0.584296244384067
17306523,669124,10170650,280634,2020-07-30,0.0162155044083667,0.587677259031176
17596559,675313,10369140,290036,2020-07-31,0.0164825407058278,0.589270890973627
17847574,680796,10553585,251015,2020-08-01,0.0140643764805233,0.59131762109517
18076718,685087,10690555,229144,2020-08-02,0.012676194871215,0.591399113489517
18278778,689402,10913000,202060,2020-08-03,0.0110543494756597,0.59703115820981
18537524,696350,11134735,258746,2020-08-04,0.0139579590025076,0.600659235828906
18808754,703302,11356275,271230,2020-08-05,0.0144204129630277,0.603776039603687
19093901,709787,11545401,285147,2020-08-06,0.0149339309971284,0.604664337580885
19374812,716089,11737927,280911,2020-08-07,0.0144987729429323,0.605834368870263
19634542,721499,11939109,259730,2020-08-08,0.0132282179029182,0.60806658999227
19858792,726039,12115825,224250,2020-08-09,0.0112922276440581,0.61009879150756
20086280,730973,12280520,227488,2020-08-10,0.0113255416134794,0.611388470139817
20341107,737391,12585473,254827,2020-08-11,0.012527685931744,0.618721144331034
20618174,743999,12826815,277067,2020-08-12,0.013437998922698,0.622112074522215
20904123,750232,12992176,285949,2020-08-13,0.0136790718271223,0.621512607823825
21208474,760366,13276831,304351,2020-08-14,0.0143504431294774,0.626015384228021
21456826,765715,13445842,248352,2020-08-15,0.0115744984836061,0.626646364191982
21669376,769903,13676868,212550,2020-08-16,0.00980877345060605,0.631161137265789
21878471,774036,13888301,209095,2020-08-17,0.00955711210349206,0.634793034668648
22134679,780909,14116451,256208,2020-08-18,0.011574958914019,0.637752686632591
22408212,787659,14333914,273533,2020-08-19,0.0122068195356238,0.639672366541338
