"date","confirmed","deaths","recovered","newcase","infection_rate","recovery_rate","total_flights","commercial_flights","commercial_rate"
2020-04-09,1585483,102237,353707,86588,0.0546130106724575,0.223091007598315,67887,30816,0.453930796765213
2020-04-10,1672988,109629,375509,87505,0.0523046190409017,0.224454090525455,67230,30167,0.448713372006545
2020-04-11,1749872,115854,401766,76884,0.0439369279581592,0.229597364835828,67376,29849,0.443021253858941
2020-04-12,1846819,121671,421180,96947,0.0524940451663103,0.228056999630175,65837,29442,0.44719534608199
2020-04-13,1916464,127587,448347,69645,0.0363403643376552,0.233944911044507,63951,28798,0.450313521289737
2020-04-14,1986284,134567,473436,69820,0.0351510660107014,0.238352622283621,63758,28502,0.44703409768186
2020-04-15,2067245,142918,510106,80961,0.0391637178950729,0.246756431869469,63810,28232,0.442438489265006
2020-04-16,2163941,150221,540926,96696,0.044685136979243,0.249972619401361,64752,28028,0.432851494934519
2020-04-17,2251672,158588,567049,87731,0.0389626020130818,0.251834636661112,65308,28053,0.429549212960127
2020-04-18,2325485,164601,590968,73813,0.0317409056605396,0.254126773554764,64675,27969,0.432454580595284
2020-04-19,2406054,169862,622623,80569,0.0334859483619237,0.258773493861734,66347,27986,0.421812591375646
2020-04-20,2479522,175726,644613,73468,0.0296299044735235,0.259974704801974,68235,28086,0.411606946581666
2020-04-21,2554727,182917,679456,75205,0.029437587656137,0.265960315916339,68744,27984,0.407075526591412
2020-04-22,2631781,189644,709881,77054,0.0292782720142747,0.269734069818119,69240,27997,0.404347198151358
2020-04-23,2720583,196485,738661,88802,0.0326407979466166,0.271508349497148,69357,28064,0.404631111495595
2020-04-24,2807495,203142,788712,86912,0.0309571343849232,0.280930865415611,69750,28152,0.403612903225806
2020-04-25,2892296,208774,816491,84801,0.029319613206947,0.282298561419716,71280,28181,0.395356341189674
2020-04-26,2965076,212708,845096,72780,0.0245457452018093,0.285016640382911,72076,28181,0.390990066041401
2020-04-27,3034072,217382,872865,68996,0.0227403964045679,0.287687635626313,73113,28294,0.38699000177807
2020-04-28,3109425,223929,906136,75353,0.0242337409649694,0.291415937030158,73876,28500,0.385781579944772
2020-04-29,3186589,230657,948318,77164,0.0242152345344819,0.297596583682427,73552,28702,0.39022732216663
2020-04-30,3270117,236559,1013284,83528,0.0255428169695457,0.309861696079987,73906,29097,0.393702811679701
2020-05-01,3357276,241722,1051537,87159,0.0259612257079847,0.313211365404572,74862,29190,0.389917448104512
2020-05-02,3438689,247205,1092416,81413,0.0236755926459183,0.317683861494889,75200,29212,0.388457446808511
2020-05-03,3516333,250694,1124732,77644,0.0220809576339897,0.319859353479889,75920,29327,0.386288198103267
2020-05-04,3592506,254808,1158819,76173,0.0212033048796578,0.322565640808951,76318,29658,0.388610812652323
2020-05-05,3672660,260714,1195359,80154,0.0218245086667429,0.32547499632419,76833,30094,0.391680658050577
2020-05-06,3762727,267277,1241365,90067,0.0239366289395962,0.329910992745421,78821,30359,0.385163852272871
2020-05-07,3851894,272579,1280833,89167,0.0231488716979232,0.332520313383494,81337,30559,0.375708472159042
2020-05-08,3943470,278054,1317383,91576,0.0232221875657733,0.33406695118766,82373,30980,0.376094108506428
2020-05-09,4029169,282287,1370933,85699,0.0212696464208873,0.34025204701019,83806,31436,0.375104407798964
2020-05-10,4105292,285874,1404527,76123,0.018542651777267,0.342125968140634,83198,31878,0.38315824899637
2020-05-11,4181640,289354,1451521,76348,0.018257908380444,0.347117638055882,83478,32198,0.385706413665876
2020-05-12,4265367,294889,1488542,83727,0.0196294949531893,0.348983334845513,84269,32274,0.382987812837461
2020-05-13,4350206,299981,1544398,84839,0.0195022948338538,0.355017210679218,84931,32543,0.383169867304047
2020-05-14,4447281,305171,1584114,97075,0.0218279438605296,0.356198315330198,84680,32783,0.387139820500709
2020-05-15,4543711,310304,1632122,96430,0.0212227406188466,0.359204623709563,85547,33116,0.387108840754205
2020-05-16,4639021,314424,1688714,95310,0.0205452831534929,0.364023788639888,86969,33387,0.38389541100852
2020-05-17,4717335,317712,1729621,78314,0.0166013225687809,0.366652145756025,90263,33638,0.372666541107652
2020-05-18,4805823,321412,1782542,88488,0.0184126631380307,0.370912952890691,91670,33839,0.369139304025308
2020-05-19,4902461,326158,1834647,96638,0.0197121404943354,0.374229800094279,92919,34085,0.3668248689719
2020-05-20,5005574,330926,1893575,103113,0.0205996355263153,0.378293278652958,95155,34499,0.362555829961642
2020-05-21,5111869,335657,1944840,106295,0.0207937644724464,0.380455758940614,98968,34755,0.351174116886266
2020-05-22,5218664,340851,2053491,106795,0.0204640498027848,0.39348978972396,100823,35046,0.347599258105789
2020-05-23,5323977,344742,2108462,105313,0.0197808893614679,0.396031387814035,99803,35221,0.352905223289881
2020-05-24,5419242,347870,2163902,95265,0.0175790267347352,0.399299754467507,98810,35255,0.356795870863273
2020-05-25,5506311,349062,2227625,87069,0.0158125830524284,0.404558514766057,98130,35245,0.359166411902578
2020-05-26,5598982,353180,2282839,92671,0.0165514016655171,0.407723939816202,98311,35139,0.357426941034065
2020-05-27,5701734,358326,2346232,102752,0.0180211844326656,0.411494468174068,98527,35228,0.357546662336212
2020-05-28,5821183,362944,2413089,119449,0.0205197122303147,0.414535842628552,96544,35417,0.366848276433543
2020-05-29,5942378,367536,2490435,121195,0.0203950337726748,0.419097371456343,97175,35657,0.366935940313867
2020-05-30,6080002,371610,2560888,137624,0.0226355188698951,0.421198545658373,100447,35870,0.357103746254244
2020-05-31,6187396,374478,2637208,107394,0.0173568977967468,0.426222598327309,103566,36387,0.351341173744279
2020-06-01,6282981,377554,2692105,95585,0.0152133199193186,0.428475750603098,108319,37170,0.343153094101681
2020-06-02,6403944,382296,2796228,120963,0.0188888285094311,0.436641544648111,111028,38086,0.343030586878985
2020-06-03,6522099,387745,2875332,118155,0.0181161003535825,0.440859913349981,111665,38632,0.345963372587651
2020-06-04,6649014,392879,2945385,126915,0.0190877925659353,0.4429807186449,112494,39257,0.348969722829662
2020-06-05,6779972,397453,3014544,130958,0.0193154190017304,0.444624845058357,112321,39936,0.355552390025018
2020-06-06,6915760,401265,3086748,135788,0.0196345737850938,0.446335326847664,110372,40552,0.367412024788896
2020-06-07,7027674,404006,3141849,111914,0.0159247568968054,0.447068119551362,108754,41167,0.378533203376428
2020-06-08,7130092,407707,3293412,102418,0.0143641905321839,0.46190315636881,107185,41649,0.38857116200961
2020-06-09,7254608,412562,3375694,124516,0.0171637116712578,0.465317216312721,105888,41968,0.396343306134784
2020-06-10,7389151,417623,3454832,134543,0.0182081811564008,0.467554662233861,105707,42440,0.401487129518386
2020-06-11,7527086,422322,3540714,137935,0.0183251526553569,0.470396379156555,107274,42964,0.400507112627477
2020-06-12,7656149,426545,3620438,129063,0.0168574305437368,0.472879772846636,110777,43438,0.392121108172274
2020-06-13,7791901,430722,3706372,135752,0.0174221926074266,0.475669801246191,113771,43795,0.384939923179017
2020-06-14,7925110,434129,3777157,133209,0.016808473320875,0.476606255307497,115508,44233,0.382943172767254
2020-06-15,8044663,437559,3857365,119553,0.0148611570180131,0.479493671767233,117238,44843,0.382495436633174
2020-06-16,8186473,444294,3955205,141810,0.0173224781905468,0.483139075887748,119121,45357,0.380764097010603
2020-06-17,8328685,449396,4073992,142212,0.0170749644151508,0.489151888923642,121082,45658,0.377083298921392
2020-06-18,8468705,454386,4155134,140020,0.0165338147922262,0.490645736272547,121795,45987,0.377577076234657
2020-06-19,8648774,460545,4250149,180069,0.0208201763625688,0.491416355659195,120750,46274,0.383221532091097
2020-06-20,8806595,464746,4365974,157821,0.0179207741471023,0.495761869371761,121356,46731,0.38507366755661
2020-06-21,8935273,468747,4434711,128678,0.0144011268598061,0.496315109790154,122664,47056,0.383617035152938
2020-06-22,9073260,472311,4526337,137987,0.0152080949956245,0.498865567612964,122987,47348,0.384983778773366
2020-06-23,9238052,477539,4630412,164792,0.0178383927693847,0.501232510923299,123796,47638,0.384810494684804
2020-06-24,9409498,482712,4746172,171446,0.0182205256858549,0.504402253977842,125234,48161,0.384568088538256
2020-06-25,9587195,487411,4839028,177697,0.0185348269227861,0.504738664437304,126695,48465,0.382532854493074
2020-06-26,9778566,492109,4945742,191371,0.0195704564452497,0.50577375046607,127798,48667,0.380811906289613
2020-06-27,9957498,496574,5052107,178932,0.0179695742846245,0.507367111698139,127133,48996,0.385391676433341
2020-06-28,10119644,499712,5141227,162146,0.0160228956670808,0.508044255311748,126135,49318,0.390993776509296
2020-06-29,10275992,503435,5235793,156348,0.0152148814440494,0.50951703738189,125444,49428,0.394024425241542
2020-06-30,10449832,508361,5353115,173840,0.0166356741428953,0.512268044117838,125065,49717,0.397529284771919
2020-07-01,10666930,513291,5469041,217098,0.0203524350492597,0.51270993622345,124285,50376,0.405326467393491
2020-07-02,10874417,518361,5753918,207487,0.0190802872466634,0.529124273972573,124823,51388,0.411686948719387
2020-07-03,11077903,523297,5863818,203486,0.018368638902146,0.529325631394317,125679,52535,0.4180093730854
2020-07-04,11271954,527661,6059651,194051,0.0172153825326115,0.537586562187887,126107,52930,0.41972293369916
2020-07-05,11454850,531133,6178973,182896,0.0159666865999991,0.539419809076505,127930,53945,0.421675916516845
2020-07-06,11620802,534954,6302585,165952,0.0142805978451401,0.542353703298619,129569,55184,0.425904344403368
2020-07-07,11831641,540984,6447610,210839,0.0178199287824909,0.544946385712684,131116,56268,0.429146709783703
2020-07-08,12043466,546257,6605559,211825,0.017588375306577,0.548476576427417,131920,56872,0.431109763493026
2020-07-09,12271553,551670,6740073,228087,0.0185866450644022,0.549243685782883,132545,57476,0.433633860198423
2020-07-10,12503942,556965,6879465,232389,0.0185852589527367,0.550183694070238,133151,58276,0.437668511689736
2020-07-11,12720381,561750,7005174,216439,0.0170151350026387,0.550704731249795,136612,59591,0.43620618979299
2020-07-12,12913142,565740,7116853,192761,0.0149275056372802,0.551132559372459,140205,60271,0.429877679112728
2020-07-13,13105192,569553,7257197,192050,0.014654497240483,0.55376502686874,142989,60759,0.424920798103351
2020-07-14,13326971,575148,7399397,221779,0.0166413658437465,0.555219711966057,144509,61134,0.423046315454401
2020-07-15,13557898,580582,7559178,230927,0.0170326550620163,0.557547932577749,145997,61770,0.423090885429153
2020-07-16,13810459,586332,7711548,252561,0.0182876615469479,0.558384627187264,146150,62281,0.426144372220322
2020-07-17,14052261,592988,7894858,241802,0.0172073376661592,0.561821190198503,147423,62673,0.425123623857878
2020-07-18,14290096,598609,8045815,237835,0.0166433451531746,0.563034356102296,148482,63197,0.425620613946472
2020-07-19,14504853,602661,8133692,214757,0.0148058722139411,0.560756596430174,148000,63641,0.430006756756757
2020-07-20,14710995,606829,8292688,206142,0.0140127843154049,0.563706805691933,147763,63920,0.432584611844643
2020-07-21,14944726,612998,8467335,233731,0.0156396979108215,0.566576797727841,147604,63934,0.433145443212921
2020-07-22,15225164,619920,8643722,280438,0.01841937466158,0.567726035660437,147178,63671,0.432612211064154
2020-07-23,15507881,629817,8813886,282717,0.0182305371056175,0.568348828573033,147282,63546,0.431458019309895
2020-07-24,15789074,635852,9043203,281193,0.0178093408137805,0.572750688229088,146803,63474,0.432375360176563
2020-07-25,16044757,641398,9262520,255683,0.0159356106172253,0.577292632104057,145978,63462,0.434736741152776
2020-07-26,16258079,645058,9402996,213322,0.0131209843426151,0.578358365708519,144539,63442,0.438926518102381
2020-07-27,16484206,650233,9572619,226127,0.0137177975087183,0.580714594321377,143431,63360,0.441745508293186
2020-07-28,16736727,656545,9746473,252521,0.0150878364688628,0.582340442070902,142644,63448,0.444799641064468
2020-07-29,17025889,663118,9948163,289162,0.0169836652876099,0.584296244384067,141086,62644,0.444012871581872
2020-07-30,17306523,669124,10170650,280634,0.0162155044083667,0.587677259031176,141556,62462,0.441252931701941
2020-07-31,17596559,675313,10369140,290036,0.0164825407058278,0.589270890973627,142740,62496,0.437831021437579
2020-08-01,17847574,680796,10553585,251015,0.0140643764805233,0.59131762109517,143165,62825,0.438829322809346
2020-08-02,18076718,685087,10690555,229144,0.012676194871215,0.591399113489517,143080,63161,0.441438356164384
2020-08-03,18278778,689402,10913000,202060,0.0110543494756597,0.59703115820981,142863,63600,0.44518174754835
2020-08-04,18537524,696350,11134735,258746,0.0139579590025076,0.600659235828906,143131,63867,0.446213608512482
2020-08-05,18808754,703302,11356275,271230,0.0144204129630277,0.603776039603687,146499,65128,0.444562761520556
2020-08-06,19093901,709787,11545401,285147,0.0149339309971284,0.604664337580885,148124,65764,0.443979368637088
2020-08-07,19374812,716089,11737927,280911,0.0144987729429323,0.605834368870263,148643,66260,0.445766030018232
2020-08-08,19634542,721499,11939109,259730,0.0132282179029182,0.60806658999227,149570,66477,0.444454101758374
2020-08-09,19858792,726039,12115825,224250,0.0112922276440581,0.61009879150756,151872,66732,0.439396333754741
2020-08-10,20086280,730973,12280520,227488,0.0113255416134794,0.611388470139817,153656,67045,0.436331806112355
2020-08-11,20341107,737391,12585473,254827,0.012527685931744,0.618721144331034,155256,67451,0.434450198382027
2020-08-12,20618174,743999,12826815,277067,0.013437998922698,0.622112074522215,155138,67652,0.436076267581121
2020-08-13,20904123,750232,12992176,285949,0.0136790718271223,0.621512607823825,154392,67892,0.439737810249236
2020-08-14,21208474,760366,13276831,304351,0.0143504431294774,0.626015384228021,153815,68095,0.44270714819751
2020-08-15,21456826,765715,13445842,248352,0.0115744984836061,0.626646364191982,152886,68283,0.446626898473372
